圣文森特和格林纳丁斯	聖文森及格瑞那丁
法属南方和南极洲领地	法屬南部領地
波斯尼亚和黑塞哥维那	波士尼亞與赫塞哥維納
赫德岛和麦克唐纳群岛	赫德島和麥克唐納群島
南格奥尔格亚群岛	南喬治亞群島
圣多美和普林西比	聖多美普林西比
密克罗尼西亚联邦	米克羅尼西亞
巴勒斯坦解放组织	巴勒斯坦解放組織
特立尼达和多巴哥	千里達及托巴哥
阿拉伯联合酋长国	阿拉伯聯合大公國
刚果民主共和国	剛果民主共和國
北马里亚纳群岛	北馬利安納群島
吉尼斯世界纪录	金氏世界紀錄
圣基茨和尼维斯	聖克里斯多福與尼維斯
塞尔维亚和黑山	塞爾維亞與蒙特內哥羅
多米尼加共和国	多明尼加共和國
巴什科尔托斯坦	巴什科爾托斯坦
巴布亚新几内亚	巴布亞紐幾內亞
法属波利尼西亚	法屬玻里尼西亞
美属维尔京群岛	美屬維京群島
英属印度洋领地	英屬印度洋領地
英属维尔京群岛	英屬維京群島
乌兹别克斯坦	烏茲別克
吉尔吉斯斯坦	吉爾吉斯
圣尤斯特歇斯	聖佑達修斯
多米尼加联邦	多米尼克國
安提瓜巴布达	安地卡及巴布達
德摩克拉也门	南葉門
斯瓦尔巴群岛	斯瓦爾巴群島
新喀里多尼亚	新喀里多尼亞
每月限量礼包	每月限定禮包
皮特凯恩群岛	皮特凱恩群島
荷属安的列斯	荷屬安地列斯
麦克唐纳群岛	麥克唐納群島
俄罗斯联邦	俄羅斯聯邦
几内亚比绍	幾內亞比索
列支敦士登	列支敦斯登
印度尼西亚	印尼
厄立特里亚	厄利垂亞
合并服务器	整合伺服器
哈萨克斯坦	哈薩克
哥斯达黎加	哥斯大黎加
土库曼斯坦	土庫曼
圣皮埃尔岛	聖皮埃爾島
埃塞俄比亚	衣索比亞
塔吉克斯坦	塔吉克
富图纳群岛	富圖納群島
布基纳法索	布吉納法索
所罗门群岛	索羅門群島
斯洛文尼亚	斯洛維尼亞
毛里塔尼亚	茅利塔尼亞
沙特阿拉伯	沙烏地阿拉伯
法属圭亚那	法屬圭亞那
深海捕鱼区	深海捕魚區
科科斯群岛	科科斯群島
美属萨摩亚	美屬薩摩亞
荷属圣马丁	荷屬聖馬丁
蒙特塞拉特	蒙哲臘
诺福克图岛	諾福克島
赤道几内亚	赤道幾內亞
阿尔及利亚	阿爾及利亞
阿尔巴尼亚	阿爾巴尼亞
马尔维纳斯	馬爾維納斯
马提尼克岛	馬丁尼克島
马绍尔群岛	馬紹爾群島
马达加斯加	馬達加斯加
马里共和国	馬利共和國
一干二净	一乾二淨
世界频道	極限頻道
个人信息	個人資訊
个人形象	個人造型
个人资料	個人資訊
中华民国	中華民國
亚美尼亚	亞美尼亞
保加利亚	保加利亞
克罗地亚	克羅埃西亞
其他国家	其他國家
利比里亚	賴比瑞亞
刻录光盘	燒錄光碟
南斯拉夫	南斯拉夫
博茨瓦纳	波札那
危地马拉	瓜地馬拉
卷土重來	捲土重來
厄瓜多尔	厄瓜多
反复任务	購入任務
哥伦比亚	哥倫比亞
国际地区	國際地區
圣赫勒拿	聖赫倫那
圣路易斯	聖路易
圣马力诺	聖馬利諾
在线游戏	線上遊戲
坦桑尼亚	坦尚尼亞
塞内加尔	塞內加爾
塞尔维亚	塞爾維亞
塞拉利昂	獅子山
塞浦路斯	賽普勒斯
大韩民国	大韓民國
委内瑞拉	委內瑞拉
孟加拉国	孟加拉國
安塔蒂卡	南極洲
密克隆岛	密克隆島
尼加拉瓜	尼加拉瓜
尼日利亚	奈及利亞
巴勒斯坦	巴勒斯坦
巴基斯坦	巴基斯坦
巴巴多斯	巴貝多
干干净净	乾乾淨淨
库克群岛	庫克群島
开曼群岛	開曼群島
扬马延岛	揚馬延島
拉脱维亚	拉脫維亞
搜索引擎	搜尋引擎
摩尔多瓦	摩爾多瓦
数字娱乐	數位娛樂
数码相机	數位相機
文件管理	檔案管理
斯威士兰	史瓦帝尼
斯洛伐克	斯洛伐克
斯里兰卡	斯里蘭卡
智能手机	智慧型手機
松一口气	鬆一口氣
格林纳达	格瑞那達
格鲁吉亚	喬治亞
比赛道具	初始道具
毛里求斯	模里西斯
法罗群岛	法羅群島
波多黎各	波多黎各
津巴布韦	辛巴威
洪都拉斯	宏都拉斯
澳大利亚	澳大利亞
爱沙尼亚	愛沙尼亞
玻利维亚	玻利維亞
瓜德鲁普	瓜德羅普
瓦努阿图	萬那杜
电子邮箱	電子信箱
白俄罗斯	白俄羅斯
盛气凌人	盛氣凌人
直布罗陀	直布羅陀
知识产权	智慧財產權
社交网站	社群網站
社会媒体	社群媒體
科特迪瓦	象牙海岸
移动电源	行動電源
程序报错	系統出錯
系统设置	系統設定
累计充值	累積儲值
累计消费	累積消費
纳米比亚	納米比亞
绰绰有余	綽綽有餘
网站运营	網站營運
网络营销	網路行銷
罗马尼亚	羅馬尼亞
莫桑比克	莫桑比克
萨尔瓦多	薩爾瓦多
西撒哈拉	西撒哈拉
讯息产业	資訊產業
赞不绝口	讚不絕口
超级建造	草雞建造
连接超时	伺服器沒有響應
重启电脑	重開機
阿塞拜疆	亞塞拜然
马尔代夫	馬爾地夫
马来西亚	馬來西亞
马约特岛	馬約特島
高级设定	進階設定
默认选项	預設選項
三文鱼	鮭魚
上网本	小筆電
东帝汶	東帝汶
个人战	個人賽
乌克兰	烏克蘭
乌干达	烏干達
乌拉圭	烏拉圭
互联网	網際網路
以色列	以色列
伊拉克	伊拉克
伯利兹	貝里斯
佛得角	維德角
公主链	公主鍊
关键词	關鍵字
冈比亚	甘比亞
几内亚	幾內亞
利比亚	利比亞
加拿大	加拿大
匈牙利	匈牙利
南苏丹	南蘇丹
博奈尔	波奈
卡塔尔	卡達
卢安达	盧安達
卢旺达	盧安達
卢森堡	盧森堡
叙利亚	敘利亞
台式机	桌上型電腦
吉布提	吉布地
周排名	週排名
喀麦隆	喀麥隆
图瓦卢	吐瓦魯
土耳其	土耳其
圣诞岛	聖誕島
圭亚那	蓋亞那
塞舌尔	塞席爾
墨西哥	墨西哥
奥地利	奧地利
安古拉	安古拉
安哥拉	安哥拉
安道尔	安道爾
尼日尔	尼日
尼泊尔	尼泊爾
屏蔽词	不雅詞彙
巴哈马	巴哈馬
巴拉圭	巴拉圭
巴拿马	巴拿馬
布隆迪	蒲隆地
干一架	幹一架
干什么	幹什麼
库拉索	古拉索
意大利	義大利
扎伊尔	薩伊
打印机	印表機
托克劳	托克勞
拽过来	拉過來
摄像头	網路攝影機
摩洛哥	摩洛哥
摩纳哥	摩納哥
数据库	資料庫
新加坡	新加坡
新泽西	紐澤西
新西兰	紐西蘭
服务器	伺服器
本地化	在地化
松口气	鬆口氣
柬埔寨	柬埔寨
格陵兰	格陵蘭
